Basic_Setting;"Paramètres de base pour Paymill"
TEXT_INFO_API_VERSION;"Version API"
action_delete;"Effacer la sélection"
amount_description;"Montant au format le plus petit disponible (100 pour 1,00 € par exemple)"
amount_label;Montant
backend_log_dev_info_additional;"Informations supplémentaires sur le développeur"
capture_description;"Si le montant a été autorisé au cours du paiement, il peut être facturé ici."
capture_label;Facturer
config_sepa_date;"Days until the debit"
checkout_desc;"Texte de description"
checkout_generating_invoice;"La facture est en cours de création"
config_acceptedCurrencies_description;"Si rien n'a été sélectionné, toutes les devises seront acceptées"
config_acceptedCurrencies_label;"Devises acceptées"
config_activate_text;Activer
config_breadcrumb_payment;Paiement
config_buttonSolution;"activer le bouton solution"
config_countries_description;"Si rien n'a été sélectionné, tous les pays seront acceptés"
config_countries_label;"Pays acceptés"
config_debugging_description;"Si ce mode est activé, les informations correspondantes seront affichées sur la console du navigateur durant le processus de paiement"
config_debugging_label;"Activer le débogage"
config_fastCheckout_description;"Si ce mode est activé, les données de vos clients seront conservées par PAYMILL et remises à disposition pour de futurs achats. Le client n'aura à saisir ses données qu'une seule fois. Cette solution est compatible PCI."
config_fastCheckout_label;"Activer le paiement rapide."
config_general_header;"Configuration principale"
config_logging_description;"Si ce mode est activé, les informations concernant l'avancement du traitement de la commande seront écrites dans le journal."
config_logging_label;"Activer la journalisation."
config_order_state_label;"État de l'ordre"
config_payment_cc;"Activer la carte de crédit"
config_payment_date;"Marquer la commande comme payée"
config_payment_elv;"Activer le prélèvement automatique"
config_payment_header;"Configuration du paiement"
config_preAuth_description;"Si ce mode est activé, vous devrez capturer les transactions arrivantes manuellement."
config_preAuth_label;"Préautoriser les transactions lors du paiement. Le montant sera prélevé manuellement."
config_preAuth_label_magento;"Préautoriser les transactions lors du paiement. Le montant sera prélevé lors de la génération des factures."
config_privateKey_description;"Vous trouverez votre clé privée dans le cockpit PAYMILL."
config_privateKey_label;"Clé privée"
config_publicKey_description;"Vous trouverez votre clé publique dans le cockpit PAYMILL."
config_publicKey_label;"Clé publique"
config_save;Sauvegarder
config_sepa_active_description;"Actuellement, seules les données bancaires d'Allemagne sont traitées"
config_sepa_active_label;"Montrer le formulaire SEPA"
config_showlabel_description;"Affiche l'étiquette PAYMILL sous le formulaire de paiement lors de cette étape."
config_showlabel_label;"Afficher l'étiquette PAYMILL lors du paiement."
config_sort_description;"Position de l'affichage lors du paiement."
config_sort_label;Séquence
config_title;PAYMILL
config_tokenTolerance_description;"Une somme vous sera prélevée lors de la génération des crédits PAYMILL, afin d'éviter les écarts par rapport à la sécurité 3-D."
config_tokenTolerance_label;"Valeur de tolérance des crédits"
config_transaction_order_status_id_description;"Inclure les informations de l'opération à ce niveau du statut de l'ordre."
config_transaction_order_status_id_label;"Etat de l'ordre d'opération"
config_webhooks_create;"Créer des Webhooks"
config_webhooks_description;"Synchroniser automatiquement mes Remboursements à partir du Cockpit PAYMILL et mon magasin"
config_webhooks_label;"Activer les Webhooks"
config_webhooks_remove;"Supprimer les Webhooks"
config_webhooks_url;"URL du Webhook enregistré"
config_zone_description;"Veuillez entrer individuellement les zones qui doivent être autorisées à utiliser ce module (par exemple, USA, GB (laisser un blanc pour autoriser toutes les zones))"
config_zone_label;"Zones autorisées"
currency_description;"Abréviation de la devise (EUR par exemple)"
currency_label;Devise
error_text_invalid_token;"L'erreur suivante est survenue :"
error_text_no_entry_selected;"Veuillez sélectionner une entrée"
feedback_info_sepa_date;"The direct debit is drawn to the following date"
feedback_capture_failure;"La capture a échoué"
feedback_capture_success;"Capture réussie"
feedback_config_error_differentamount;"La valeur de tolérance du token doit être un nombre valide"
feedback_config_error_privatekey;"Veuillez entrer une clé privée valide"
feedback_config_error_publickey;"Veuillez entrer une clé publique valide"
feedback_config_permission;"Vous n'êtes pas autorisé à changer la configuration"
feedback_config_saved;"Vos changements ont été enregistrés avec succès"
feedback_deleteLogEntry_failure;"La suppression a échoué"
feedback_deleteLogEntry_success;"Saisies supprimées avec succès"
feedback_deleteLog_failure;"Si ce mode est activé, les informations concernant l'avancement du traitement de la commande seront écrites dans le journal."
feedback_deleteLog_success;"Journal supprimé avec succès"
feedback_error_creditcard_cvc;"CVC invalide"
feedback_error_creditcard_holder;"Veuillez saisir le nom du titulaire de la carte."
feedback_error_creditcard_number;"Veuillez saisir un numéro de carte de crédit valide."
feedback_error_creditcard_parent;"Veuillez saisir vos données de carte de crédit. Pour des raisons de confidentialité, nous NE conserverons PAS vos données sur nos serveurs."
feedback_error_creditcard_valid;"Date d'expiration invalide"
feedback_error_directdebit_bankcode;"Veuillez saisir un code bancaire de débit direct valide."
feedback_error_directdebit_holder;"Veuillez saisir le nom du titulaire du compte de débit direct"
feedback_error_directdebit_number;"Veuillez saisir un numéro de compte de débit direct valide"
feedback_error_directdebit_parent;"Veuillez saisir vos données bancaires de débit direct. Pour des raisons de confidentialité, nous NE conserverons PAS vos données sur nos serveurs."
feedback_error_general_unknown;"Une erreur s'est produit pendant le traiement de votre paiement."
feedback_error_general_unknown_payment;"Le moyen de paiement n'a pas pu être identifié. Veuillez contacter l'assistance."
feedback_error_sepa_bic;"Veuillez entrer un BIC valide."
feedback_error_sepa_iban;"Veuillez entrer un IBAN valide"
feedback_general_affirmation;"Êtes-vous sûr ?"
feedback_info_creditcard_slogan;"Paiements par carte de crédit sécurisés fonctionnant avec"
feedback_info_directdebit_slogan;"Débit direct fonctionnant avec"
feedback_info_general_required;"Les champs comportant une * sont obligatoires."
feedback_month_april;Avril
feedback_month_august;Août
feedback_month_december;Décembre
feedback_month_february;Février
feedback_month_january;Janvier
feedback_month_july;Juillet
feedback_month_june;Juin
feedback_month_march;Mars
feedback_month_may;Mai
feedback_month_november;Novembre
feedback_month_october;Octobre
feedback_month_september;Septembre
feedback_refund_failure;"Le remboursement a échoué"
feedback_refund_success;"Remboursement réussi"
feedback_search_failure;"La recherche a échoué"
feedback_search_success;"Recherche réussie"
frontend_cart_empty;"Votre caddy est vide"
frontend_creditcard;"Carte de crédit"
frontend_creditcard_button_cancel;Annuler
frontend_creditcard_label_cvc;CVC
frontend_creditcard_label_holder;"Titulaire de la carte"
frontend_creditcard_label_number;"Numéro de carte"
frontend_creditcard_label_valid;"Valable jusqu'au"
frontend_creditcard_tooltip_cvc;"Le code CVV ou CVC est une fonctionnalité de sécurité des cartes de crédit. Il se compose en général d'un nombre de trois à quatre chiffres. Sur les cartes de crédit VISA, il est appelé code CVV. On trouve le même code sur les cartes de crédit MasterCard, où il est appelé cependant CVC. CVC signifie « Card Validation Code » (« Code de validation de carte »). Le code CVV signifie quant à lui « Card Validation Value code » (« code de Valeur de validation de carte »). Similaires à MasterCard et Visa, les autres marques telles que Diners Club, Discover et JCB contiennent un nombre à trois chiffres que l'on retrouve généralement au dos de la carte de crédit. Les cartes MAESTRO existent avec et sans le CVV à trois chiffres. Si vous utilisez une carte MAESTRO sans CVV, vous pourrez saisir 000 dans le formulaire. American Express utilise le CID (card identification number - numéro d'identification de carte). Le CID est un nombre à quatre chiffres que l'on retrouve généralement à l'avant de la carte, en haut à droite du numéro de carte de crédit."
frontend_directdebit;"Débit direct"
frontend_directdebit_label_bankcode;"Code bancaire"
frontend_directdebit_label_bic;BIC
frontend_directdebit_label_holder;"Titulaire du compte"
frontend_directdebit_label_iban;IBAN
frontend_directdebit_label_number;"Numéro de compte"
frontend_order_now;Commande
frontend_redirect_order_overview;"Résumé de la commande"
frontend_redirect_paymentselection;"Sélection du paiement"
frontend_thank_you;"Nous vous remercions pour votre commande"
hooks_headline;"Les hooks de PAYMILL"
log_action_success;"Action réussie"
log_connectedSearch_button;"Recherche connectée"
log_connectedSearch_description;"La recherche connectée liste tous les résultats de recherche ainsi que les saisies de journal provenant des requêtes de recherche."
log_date_title;"Date de saisie"
log_deleteEntry_button;"Supprimer la saisie"
log_deleteLog_button;"Vider le journal"
log_detail_title;Détails
log_devInfo_title;"Informer le développeur"
log_id_title;Id
log_merchantInfo_title;"Information sur le marchand"
log_processId_title;"Traitement de l'id"
log_search_button;Rechercher
log_search_details;"Afficher les détails"
log_title;"Journal PAYMILL"
log_version_title;"Version du module"
module_title;"Débit direct & paiements par carte de crédit PAYMILL"
operations_title;"Options de transaction PAYMILL"
refund_description;"Les transactions réussies peuvent être remboursées ici"
refund_label;Rembourser
send_invoice_mail;"Envoyer une facture par courriel"
text_date;Date
text_debug;Déboguer
text_message;Message
token_error;"Une erreur est survenue durant la création du token."
PAYMILL_40000;"General problem with data."
PAYMILL_40001;"General problem with payment data."
PAYMILL_40100;"Problem with credit card data."
PAYMILL_40101;"Problem with cvv."
PAYMILL_40102;"Card expired or not yet valid."
PAYMILL_40103;"Limit exceeded."
PAYMILL_40104;"Card invalid."
PAYMILL_40105;"Expiry date not valid."
PAYMILL_40106;"Credit card brand required."
PAYMILL_40200;"Problem with bank account data."
PAYMILL_40201;"Bank account data combination mismatch."
PAYMILL_40202;"User authentication failed."
PAYMILL_40300;"Problem with 3d secure data."
PAYMILL_40301;"Currency / amount mismatch"
PAYMILL_40400;"Problem with input data."
PAYMILL_40401;"Amount too low or zero."
PAYMILL_40402;"Usage field too long."
PAYMILL_40403;"Currency not allowed."
PAYMILL_50000;"General problem with backend."
PAYMILL_50001;"Country blacklisted."
PAYMILL_50002;"IP blacklisted."
PAYMILL_50100;"Technical error with credit card."
PAYMILL_50101;"Error limit exceeded."
PAYMILL_50102;"Card declined by authorization system."
PAYMILL_50103;"Manipulation or stolen card."
PAYMILL_50104;"Card restricted"
PAYMILL_50105;"Invalid card configuration data."
PAYMILL_50200;"Technical error with bank account."
PAYMILL_50201;"Card blacklisted."
PAYMILL_50300;"Technical error with 3D secure."
PAYMILL_50400;"Decline because of risk issues."
PAYMILL_50500;"General timeout."
PAYMILL_50501;"Timeout on side of the acquirer."
PAYMILL_50502;"Risk management transaction timeout"
PAYMILL_50600;"Duplicate transaction."
PAYMILL_10001;"General undefined response."
PAYMILL_10002;"Still waiting on something."
PAYMILL_20000;"General success response."
internal_server_error;"The communication with the psp failed."
invalid_public_key;"The public key is invalid."
invalid_payment_data;"Paymentmethod, card type currency or country not authorized"
unknown_error;"Unknown Error"
3ds_cancelled;"3-D Secure process has been canceled by the user"
field_invalid_card_number;"Invalid Credit Card Number"
field_invalid_card_exp_year;"Invalid Expiry Year"
field_invalid_card_exp_month;"Invalid Expiry Month"
field_invalid_card_exp;"Credit Card not valid"
field_invalid_card_cvc;"Invalid CVC"
field_invalid_card_holder;"Invalid Card Holder"
field_invalid_amount_int;"Missing amount for 3-D Secure"
field_invalid_amount;"Missing amount for 3-D Secure"
field_invalid_currency;"Invalid currency for 3-D Secure"
field_invalid_account_number;"Invalid Account Number"
field_invalid_account_holder;"Invalid Account Holder"
field_invalid_bank_code;"Invalid bank code"
field_invalid_iban;"Invalid IBAN"
field_invalid_bic;"Invalid BIC"
field_invalid_country;"Invalid country for sepa transactions"
field_invalid_bank_data;"Invalid bank data"
config_paymillPCI_label;"PCI-DSS Compliance"
config_paymillStylesheetURL_label;"Stylesheet URL"